Date,Precipitacion,Temperatura_Minima,Temperatura_Maxima,Int._del_Viento
2018-06-01,"0,3","-0,5","7,5","3,1"
2018-06-02,"0,2","-3,4","10,9","3,9"
2018-06-03,0,"-1,7","12,5","3,8"
2018-06-04,0,"-1,4","12,4","2,5"
2018-06-05,0,"-0,9","14,4","3,4"
2018-06-06,0,"1,2","16,1",4
2018-06-07,0,"-1,4","15,7","3,3"
2018-06-08,0,"2,6","18,9","6,6"
2018-06-09,0,"-1,8","19,8","3,2"
2018-06-10,0,"3,1","15,8","3,5"
2018-06-11,"3,4","0,8","10,7","6,8"
2018-06-12,"0,2","-2,1","7,9","7,4"
2018-06-13,0,"-3,7","9,6","3,5"
2018-06-14,0,"-3,8","10,6","3,7"
2018-06-15,0,"-4,7","13,7","3,7"
2018-06-16,0,"-0,1","17,6","3,9"
2018-06-17,0,"-1,9",22,"4,3"
2018-06-18,0,"0,8","24,1","4,6"
2018-06-19,0,4,"23,6","3,8"
2018-06-20,0,"0,3","19,9","3,2"
2018-06-21,0,-1,"17,4","3,2"
2018-06-22,0,2,"21,5","4,5"
2018-06-23,0,"0,2","14,2","6,8"
2018-06-24,0,"-4,8","12,4","2,4"
2018-06-25,0,0,"17,2","3,8"
2018-06-26,0,"3,2","22,5","6,2"
2018-06-27,0,1,"23,2","3,9"
2018-06-28,0,"-0,9","20,5","3,4"
2018-06-29,0,"2,7","20,1","4,7"
2018-06-30,0,"5,3","20,5","6,5"
2018-07-01,0,"5,8","15,1","4,1"
2018-07-02,"0,6","3,8","9,4","3,9"
2018-07-03,"1,6","1,1","3,5","6,2"
2018-07-04,0,3,"9,7","3,6"
2018-07-05,0,"4,6","9,3","3,6"
2018-07-06,0,"5,7","10,6","3,1"
2018-07-07,0,4,"6,6","3,1"
2018-07-08,0,"3,5","6,2","2,5"
2018-07-09,0,"-3,1","13,7","3,8"
2018-07-10,0,-2,"17,1","5,7"
2018-07-11,0,"1,7","14,5","5,3"
2018-07-12,0,0,"20,8","3,4"
2018-07-13,0,"1,4","23,1",3
2018-07-14,0,"2,9","26,2","3,7"
2018-07-15,0,"-1,2","14,7","4,3"
2018-07-16,0,"-1,5","16,1","6,5"
2018-07-17,0,"4,8","10,3","4,4"
2018-07-18,"0,1","3,8","5,9","4,7"
2018-07-19,"0,1","2,4","9,8","7,2"
2018-07-20,"0,3","-0,4","9,9",9
2018-07-21,0,"-1,6","19,8","4,9"
2018-07-22,0,-3,"12,5","6,3"
2018-07-23,0,"-6,2","10,5","3,1"
2018-07-24,0,"-5,4","14,6","4,7"
2018-07-25,0,"-5,7","13,8","3,2"
2018-07-26,0,"-5,7","14,5",5
2018-07-27,0,"-0,8","9,2","3,1"
2018-07-28,"2,5","1,6",11,"7,1"
2018-07-29,0,"-0,9","16,6","3,7"
2018-07-30,0,"-1,2","15,1","3,8"
2018-07-31,0,"-4,1",19,"5,1"
2018-08-01,0,"-2,8","18,8",4
2018-08-02,0,1,"18,9","3,5"
2018-08-03,0,"-1,1","18,2","4,4"
2018-08-04,0,"-0,2","21,5","3,1"
2018-08-05,0,"2,9","24,4","4,7"
2018-08-06,0,"7,1","24,2","5,4"
2018-08-07,"1,1","2,5","20,1","11,4"
2018-08-08,0,"-1,8","13,3","7,8"
2018-08-09,0,"-6,8","15,5","5,5"
2018-08-10,0,"-4,7","22,3","4,4"
2018-08-11,0,"1,3","23,8","6,1"
2018-08-12,0,"2,5","25,1","4,9"
2018-08-13,0,"2,9","19,9","8,3"
2018-08-14,0,"-3,1",16,"3,6"
2018-08-15,0,"-1,1","22,9",5
2018-08-16,0,"1,4","26,1","6,3"
2018-08-17,0,"8,9","28,2",6
2018-08-18,0,"5,1","12,5","7,4"
2018-08-19,0,"-1,7","11,2",4
2018-08-20,0,"-9,7","14,8","4,6"
2018-08-21,0,"-2,6","20,4","4,5"
2018-08-22,0,"3,8","24,3","5,1"
2018-08-23,0,3,"17,8","7,5"
2018-08-24,0,"-1,2","13,6","9,2"
2018-08-25,0,"-2,3","19,6","3,6"
2018-08-26,0,"4,7","28,5","3,9"
2018-08-27,0,"13,1","29,8","4,7"
2018-08-28,0,"8,5","29,3","4,3"
2018-08-29,0,"6,6","23,7","6,4"
2018-08-30,0,"0,8","13,6","5,6"
2018-08-31,"0,1","3,9","6,9","6,4"
2018-09-01,0,"2,8","12,4","3,1"
2018-09-02,0,"0,8","22,5","4,2"
2018-09-03,0,"3,7","24,5","3,4"
2018-09-04,0,"5,6","28,9","6,2"
2018-09-05,0,"13,5","33,4","7,5"
2018-09-06,0,"9,8","22,1","6,6"
2018-09-07,0,"1,4","22,5","6,7"
2018-09-08,0,"5,8","20,6","3,3"
2018-09-09,0,10,"22,1","5,2"
2018-09-10,0,"9,3","23,9","5,7"
2018-09-11,0,"8,6","26,7","4,3"
2018-09-12,"0,4","12,3","16,7","4,2"
2018-09-13,0,"11,6","19,6","2,8"
2018-09-14,0,"7,6","25,1","3,6"
2018-09-15,"0,4","10,7",26,"5,1"
2018-09-16,"1,8","10,6","23,6","2,9"
2018-09-17,0,"9,1","26,7","4,4"
2018-09-18,"11,3","9,6","23,2","6,1"
2018-09-19,0,"2,9","19,6","5,4"
2018-09-20,0,"6,1","28,2","6,3"
2018-09-21,0,"14,9","30,7","5,9"
2018-09-22,0,"16,6","32,4","5,4"
2018-09-23,0,"12,7","26,7","7,5"
2018-09-24,0,"8,6","23,6","8,2"
2018-09-25,0,"5,7","27,1",5
2018-09-26,"2,6","12,4","21,5","6,5"
2018-09-27,"0,7","12,5","18,2","5,1"
2018-09-28,"0,2","11,6","23,8","4,6"
2018-09-29,"0,1","12,2","20,7","5,6"
2018-09-30,0,"5,7","25,1","6,2"
2018-10-01,0,"5,7","14,8","6,1"
2018-10-02,0,"2,7","23,2","3,4"
2018-10-03,0,4,"21,9","3,4"
2018-10-04,0,"2,5","23,8","5,7"
2018-10-05,0,"14,3","27,2","5,2"
2018-10-06,0,"12,9","29,3","6,3"
2018-10-07,0,"17,7","32,5","4,8"
2018-10-08,0,"14,1","28,4","6,3"
2018-10-09,0,"6,3","19,3","6,1"
2018-10-10,0,"5,9","18,2","6,2"
2018-10-11,0,"11,4","18,5","4,7"
2018-10-12,0,"7,1","23,4","4,4"
2018-10-13,0,"3,9","26,1","4,9"
2018-10-14,0,14,"28,6","3,2"
2018-10-15,0,"16,2","32,1","5,1"
2018-10-16,0,"11,4",29,"4,6"
2018-10-17,0,"10,9","32,1","4,6"
2018-10-18,0,"13,1","24,3","5,9"
2018-10-19,"0,5","13,7","19,2","7,1"
2018-10-20,"0,1","16,4","24,9","4,1"
2018-10-21,0,14,"20,7","5,3"
2018-10-22,"0,6",13,"16,5","5,1"
2018-10-23,"1,5","11,8","14,3","5,9"
2018-10-24,"4,1","10,9","20,4","4,3"
2018-10-25,0,"12,2","17,4","4,6"
2018-10-26,"0,9","12,2","24,7","4,3"
2018-10-27,0,"10,1","27,4","4,3"
2018-10-28,0,"10,6","28,4","3,1"
2018-10-29,"13,7",15,"26,3","4,6"
2018-10-30,"2,8","14,1","21,7","4,1"
2018-10-31,0,"10,9","19,4","5,6"
2018-11-01,0,"12,2","26,4","4,8"
2018-11-02,0,"16,6","28,8","5,1"
2018-11-03,0,12,"27,5","5,2"
2018-11-04,0,"17,8","33,1","4,9"
2018-11-05,"10,3","16,2","23,5","5,2"
2018-11-06,0,"15,4","20,9","4,9"
2018-11-07,0,15,"27,3","4,9"
2018-11-08,0,"14,7","32,3","5,9"
2018-11-09,"3,1","20,8",34,"4,5"
2018-11-10,0,"18,4","28,3","6,3"
2018-11-11,"4,4","15,7","21,9","5,8"
2018-11-12,"9,4","13,4","15,9","6,3"
2018-11-13,"0,3","9,9","20,3","6,1"
2018-11-14,"0,5","8,5","26,6","5,3"
2018-11-15,0,"11,3","27,9","7,7"
2018-11-16,"4,2","11,4","26,5","6,1"
2018-11-17,"1,7","10,1",23,"7,4"
2018-11-18,0,"5,8","26,3","3,6"
2018-11-19,0,"16,8","33,3","4,9"
2018-11-20,0,"20,4","35,1","4,8"
2018-11-21,0,"23,2","37,6",4
2018-11-22,1,"14,8","29,2","5,3"
2018-11-23,0,"10,5","23,7","5,7"
2018-11-24,0,"12,6","28,1","5,3"
2018-11-25,"11,7",14,"29,2","8,7"
2018-11-26,"5,5",14,"22,9","6,8"
